time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.127001141072,-0.0300944071382,11.9353972998,6.2567992217,0.0612730365487,0.0,-0.346178431115,-0.128504759934,2.9635088863,-0.0105570649699,0.0815749472908,0.0,464.930038282517,464.56858569969484,465.6480181984286,467.09980198938206
1.3800000000000008,-0.149157878598,-0.0383940366196,12.1177797913,6.25573813945,0.0664978384307,0.0,-0.392912111807,-0.14822374669,3.115456359,-0.0383975970169,0.0962812749577,0.0,461.9092686782834,463.0734455412429,462.34582004235614,460.1471037131162
1.4400000000000008,-0.174070213132,-0.0478379109263,12.3067867697,6.25345688601,0.0722704122996,0.0,-0.438049584502,-0.16678882318,3.18452752699,-0.0372781064958,0.096065867068,0.0,437.23790092875436,437.22801810469724,436.8291224724717,436.9217447966433
1.5000000000000009,-0.201945415229,-0.058497399161,12.501839464,6.2516367606,0.0777996406605,0.0,-0.491701625125,-0.188728202285,3.31678524013,-0.0191813718074,0.0828891497554,0.0,457.8574451534221,456.8147224233217,456.6657451977732,458.1066833889566
1.560000000000001,-0.233393991588,-0.0706041305941,12.7078225415,6.25015666409,0.0827982966823,0.0,-0.557136524946,-0.214961602634,3.54855055833,-0.0388710857336,0.0841409076635,0.0,486.9277445896446,487.0263748047226,489.2575996423633,487.78932349510546
1.620000000000001,-0.268761903491,-0.0842743819772,12.9261428901,6.24759276122,0.0875755818851,0.0,-0.622308593738,-0.240969130404,3.7281422588,-0.0518554261603,0.0685677021527,0.0,474.47807913570216,473.2855199897933,474.7973894649388,473.7992184929352
1.680000000000001,-0.308229956722,-0.0996010386811,13.1561602408,6.24433377666,0.0912762604713,0.0,-0.6937019854,-0.270267741602,3.93831465708,-0.0597565737708,0.0420433383403,0.0,485.26765613328956,483.2746562075654,484.72487526274585,484.12900182890763
1.740000000000001,-0.352027354582,-0.116749731249,13.3983754912,6.24040352873,0.0938328991253,0.0,-0.76644590709,-0.301758370585,4.13475706695,-0.0806195547946,0.0437214741189,0.0,481.15599660701156,481.28387439646735,483.3988492683379,481.82108373559146
1.8000000000000012,-0.399593706422,-0.135582137171,13.6454207095,6.23515841576,0.0965671127195,0.0,-0.81933553588,-0.326401209685,4.10014091633,-0.106651401111,0.0490316274492,0.0,409.8147245575295,410.28789861742285,412.74278877916186,410.4312272886536
1.8600000000000012,-0.45046059791,-0.156024807317,13.8911923125,6.22889198162,0.0996542188897,0.0,-0.87649475076,-0.355564201928,4.09218768986,-0.100353023802,0.055897532198,0.0,420.2308481483847,420.8274960285157,418.67684548493986,419.2142687174061
1.9200000000000013,-0.505188482348,-0.178531413466,14.1401956569,6.22256558194,0.102769989666,0.0,-0.948069211664,-0.395269210382,4.20738942961,-0.118282685105,0.042501202844,0.0,459.61673702873685,458.55532122658497,460.23669504258856,458.8057526484006
1.9800000000000013,-0.56413093477,-0.203471333214,14.3947031845,6.21552930093,0.105275688214,0.0,-1.01690490039,-0.436728932678,4.27582387102,-0.115323531181,0.0402403458753,0.0,446.38538685441983,446.20176279089014,445.3460602400888,445.5757594319248
2.0400000000000014,-0.62745590161,-0.231167342771,14.6551936119,6.20848001357,0.107612159008,0.0,-1.0941340931,-0.487175121025,4.40655677273,-0.122207888635,0.0362080236915,0.0,465.8839131036271,465.5691708642655,466.3892367802077,465.8394657946095
2.1000000000000014,-0.695220585838,-0.26187061401,14.9212404786,6.20110522208,0.110381938053,0.0,-1.16491337319,-0.536945826173,4.46131969602,-0.124360989499,0.0609617018586,0.0,443.01613967084387,445.048242887173,443.4339415299873,443.24328365056414
2.1600000000000015,-0.767481988056,-0.295844012023,15.192245147,6.1933841177,0.11369044137,0.0,-1.24412186326,-0.596239058489,4.57155094969,-0.139143957347,0.0397619457745,0.0,463.06367033265445,461.39464777605815,461.8893327292291,460.7072154275778
2.2200000000000015,-0.844168794698,-0.333223864548,15.4663961387,6.18544000356,0.117399768673,0.0,-1.31239549417,-0.650451783663,4.5666673021,-0.121519270878,0.0871869338041,0.0,423.92091122469327,427.9796116097078,426.15725739668346,427.64417116438943
2.2800000000000016,-0.925137337159,-0.374082776297,15.7411452434,6.177807203,0.123192502522,0.0,-1.38705445681,-0.712163660926,4.59131955849,-0.142125494886,0.110659619742,0.0,436.0186200660928,437.9833536341048,436.8509178093003,435.1135720685966
